SEQN,RIDSTATR,RIAGENDR,RIDAGEYR,RIDRETH1,RIDEXMON,RIDEXAGY,DMDBORN4,DMDEDUC3,SIALANG,WTINT,WTMEC,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
71917,2,2,15,4,2,15,1,9,1,25717.677124,28299.441641,12,1,1,1,0.21
71918,2,2,8,4,2,8,1,2,1,14401.160321,15127.404324,10,1,15,15,5
71919,2,2,14,3,1,14,1,8,1,29193.726118,29976.868827,14,1,15,15,5
71920,2,2,15,3,1,15,1,8,1,78734.998715,80652.282883,4,1,5,5,0.87
71921,2,1,3,3,1,3,1,NA,1,56653.808474,55592.465182,5,1,15,15,4.34
71922,2,1,12,2,1,12,1,6,1,26580.533966,27365.257742,4,1,15,15,5
71923,2,1,12,3,1,12,1,5,1,82265.200268,86672.919056,4,1,15,15,5
71924,2,2,8,5,1,8,1,2,1,38290.064711,39549.441119,13,1,14,14,2.74
71925,2,1,7,1,1,7,1,0,1,41836.540184,42333.361701,4,1,3,3,0.46
71926,2,1,8,4,2,8,1,2,1,12087.230364,15306.9574,11,1,9,9,1.57
71927,2,1,3,2,1,3,1,NA,1,24063.499317,24680.773411,15,1,99,99,NA
71928,2,2,9,3,2,9,1,3,1,44519.207117,45785.367055,9,1,15,15,5
71929,2,1,11,1,1,11,1,4,2,27368.440757,34021.330101,13,1,7,7,0.75
71930,2,2,12,3,1,12,1,6,1,35641.237526,36859.212323,6,1,8,8,1.85
71931,2,1,4,1,1,4,1,NA,1,33125.648875,33609.702211,2,1,2,2,0.26
71932,2,2,3,4,2,3,1,NA,1,24362.968768,25697.174631,12,1,3,3,0.43
71933,2,1,15,1,1,15,1,8,1,26484.560033,26185.87482,3,1,10,10,2.82
71934,2,2,10,4,2,10,1,4,1,11460.124356,14455.335624,11,1,9,9,1.57
71935,2,2,5,1,1,5,1,NA,1,22805.882206,24318.203874,3,1,6,6,0.87
71936,2,1,15,3,2,16,1,8,1,29207.902012,31107.659656,8,1,8,8,2.17
71937,2,1,9,4,2,9,1,3,1,21176.669897,22174.369735,12,1,7,7,1.74
71938,2,1,5,3,1,5,1,NA,1,56653.808474,55592.465182,5,1,15,15,4.34
71939,2,1,15,4,1,15,1,9,1,38132.531854,38173.229826,13,1,7,7,1.3
71940,2,2,6,2,2,6,2,0,2,26342.055679,26983.606458,6,1,6,6,1.08
71941,2,2,12,1,2,12,1,6,2,15127.371456,15241.763647,10,1,4,4,0.68
71942,2,1,13,3,1,13,1,7,1,33055.844715,34871.513763,3,1,15,15,5
71943,2,2,15,1,1,15,1,8,2,45337.111554,44969.682117,4,1,4,4,0.43
71944,2,1,9,4,2,9,1,2,1,13430.25596,14062.997758,11,1,7,7,1.23
71945,2,1,4,1,1,4,1,NA,1,33125.648875,33652.702106,2,1,4,4,0.67
71946,2,1,3,3,2,3,1,NA,1,14246.869188,14988.432418,11,1,77,77,NA
71947,2,1,12,3,1,12,1,5,1,52684.108015,53977.62039,5,1,15,15,3.7
71948,2,2,10,3,1,10,1,3,1,41812.414642,43187.642627,13,1,8,8,2.62
71949,2,2,10,3,2,10,1,3,1,41410.836674,42363.735636,8,1,15,15,5
71950,2,1,6,3,1,6,1,0,1,79885.944355,82633.336025,2,1,14,14,3.98
71951,2,2,8,2,1,8,1,1,2,23664.751155,24173.008639,15,1,2,2,0.26
71952,2,2,13,4,1,13,1,7,1,27043.404996,28852.962895,15,1,9,9,1.94
71953,2,1,9,4,1,10,1,2,1,25524.286814,27762.645833,14,1,7,7,2.1
71954,2,1,6,1,1,6,1,0,1,22616.542112,23190.551894,3,1,10,10,2.82
71955,2,2,10,3,1,10,1,4,1,32521.991343,33591.65338,14,1,15,15,4.43
71956,2,1,8,3,1,8,1,1,1,71930.820045,73424.67636,4,1,5,5,0.95
71957,2,2,5,4,2,5,1,NA,1,24362.968768,26693.098856,12,1,5,5,1.32
71958,2,2,6,2,1,6,1,1,2,23664.751155,25109.862018,15,1,14,14,4.45
71959,2,1,6,2,2,6,1,0,2,12656.452575,13102.11207,10,1,1,1,0.02
71960,2,1,8,3,1,8,1,2,1,37566.351702,39230.908717,14,1,15,15,4.34
71961,2,2,14,3,2,14,1,7,1,32401.756638,33364.671991,8,1,10,10,3.21
71962,2,2,9,3,1,9,1,3,1,85392.605771,87363.511478,4,1,8,8,1.61
71963,2,2,4,4,2,5,1,NA,1,15960.491734,17486.989689000002,10,1,14,14,3.47
71964,2,1,9,4,2,9,1,3,1,13873.106684,14630.658746,10,1,8,8,1.29
71965,2,2,11,4,2,11,1,4,1,9047.514577,9462.834617,7,1,15,15,5
71966,2,2,14,3,1,14,1,7,1,48051.141725,47803.986352,5,1,6,6,1.21
71967,2,1,10,3,1,10,1,3,1,61757.449873,62042.005771,5,1,15,15,4.63
71968,2,2,5,4,1,5,1,NA,1,29364.739851,31194.488008,14,1,12,12,NA
71969,2,2,13,3,1,13,1,7,1,78734.998715,80549.229057,4,1,7,7,2.2
71970,2,1,7,3,1,8,1,2,1,47620.447942,49730.499812,13,1,4,4,0.65
71971,2,1,5,4,2,5,1,NA,1,17902.448816,24128.129247,10,1,10,10,2.36
71972,2,2,4,3,2,4,1,NA,1,50270.45673,49585.204475,9,1,14,14,3.52
71973,2,1,12,3,1,12,1,6,1,52684.108015,53977.62039,5,1,15,15,5
71974,2,2,9,4,2,9,1,2,1,20077.988353,20940.670859,12,1,1,1,0.04
71975,2,2,4,3,2,4,1,NA,1,32204.277256,32786.055529,12,1,5,5,0.74
71976,2,2,5,1,1,5,1,NA,2,18500.765574,19763.664661,1,1,13,13,NA
71977,2,1,12,3,1,12,1,6,1,36896.213409,40528.996943,13,1,7,7,2.1
71978,2,2,14,3,1,14,1,8,1,28100.912841,29061.210687,14,1,15,15,5
71979,2,2,15,3,1,15,1,9,1,78734.998715,80652.282883,4,1,15,15,4.81
71980,2,1,6,1,1,6,1,0,1,33045.950141,33438.380754,2,1,77,77,NA
71981,2,1,9,3,2,9,1,3,1,31559.340554,33991.814632,12,1,12,1,0.01
71982,2,1,14,4,2,14,1,8,1,31061.822212,31182.559564,9,1,10,10,3.67
71983,2,2,13,3,2,13,1,7,1,23620.39841,24254.032593,4,1,14,14,2.96
71984,2,2,10,3,1,11,1,4,1,85392.605771,86212.888967,4,1,10,10,2.59
71985,2,1,5,1,1,5,1,NA,2,22744.06361,23327.491692,14,1,77,77,NA
71986,2,1,13,4,2,13,1,7,1,18126.225249,18848.823894,10,1,8,8,1.85
71987,2,2,12,3,1,12,1,5,1,50423.303697,50163.946895,5,1,14,14,2.78
71988,2,1,12,3,1,12,1,5,1,28396.492841,30243.474329,14,1,15,15,5
71989,2,1,7,5,1,7,1,1,1,64366.804699,66580.471001,3,1,12,12,NA
71990,2,1,12,3,2,12,1,5,1,30424.89793,32403.812142,12,1,9,9,2.6
71991,2,2,12,4,2,12,1,7,1,16847.978465,18539.325346,10,1,14,14,3.9
71992,2,1,9,3,1,10,1,3,1,37039.520653,38680.733897,14,1,15,15,5
71993,2,2,11,2,2,11,1,3,1,27224.621351,27887.666683,8,1,5,5,1.59
71994,2,1,4,3,1,4,1,NA,1,65986.450389,65791.856876,4,1,5,5,0.95
71995,2,2,8,3,2,8,1,2,1,42045.917833,41777.766201,9,1,8,8,1.95
71996,2,1,7,2,2,7,1,0,2,10000.450686,10352.58694,11,1,7,7,1.74
71997,2,1,9,3,2,9,1,2,1,53417.990257,55251.348984,6,1,7,7,1.56
71998,2,1,6,4,2,6,1,0,1,13430.25596,14163.625805,11,1,2,2,0.47
71999,2,2,10,4,1,10,1,4,1,27657.192607,29051.932324,14,1,10,10,2.99
72000,2,1,8,1,1,9,1,3,2,21117.68899,26251.107049,14,1,5,5,0.65
72001,2,2,10,5,2,10,2,5,1,14578.765557,14951.283126,11,1,99,99,NA
72002,2,2,12,3,2,12,1,7,1,38767.821367,39919.923422,9,1,14,14,3.25
72003,2,2,7,3,1,7,1,0,1,33864.155847,34729.454969,14,1,15,15,5
72004,2,1,5,2,1,5,1,NA,2,18945.54655,19246.984012,1,1,77,77,NA
72005,2,1,12,4,2,12,1,6,1,16555.646491,20043.698727,10,1,10,10,2.36
72006,2,2,9,4,2,9,1,3,1,20077.988353,21090.512226,12,1,1,1,0.16
72007,2,2,15,1,1,15,1,8,1,31153.886361,31389.470005,13,1,6,6,0.97
72008,2,2,8,2,2,8,1,1,1,26342.055679,26841.140111,6,1,2,2,0.33
72009,2,1,11,3,2,11,1,6,1,49073.519574,50757.771732,8,1,15,15,5
72010,2,1,12,4,1,12,1,6,1,26574.170542,26602.532542,15,1,6,6,0.86
72011,2,1,9,4,2,9,1,3,1,21176.669897,22174.369735,12,1,3,3,0.37
