urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview
micardis,4,Moderately Effective,Moderate Side Effects,high blood pressure,The drug Micardis did seem to alleviate my high blood pressure to some degree though definitely not entirely.  My blood pressure is still higher than I or my doctor would like it to be. At the moment it averages about 140 over 90 but it was 180 over 110. Therefore I would say it was somewhat efficacious. It also alleviated some headaches that I assume were blood pressure related.,I find when I am taking Micardis that I tend to be very tired and my libido is decreased.,I take Micardis in pill form once daily.
trileptal,8,Considerably Effective,Mild Side Effects,epilepsy,Controlled complex partial seizures.,"Dizziness, fatigue, nausea","Started at 2 doses of 300 mg a day and worked up to 4 doses per day over a six month period. Only at 1200 mg a day did the drug control the seizures. During each time when I increased the dosage, I founf the side-effects worsened, but after a week or so, the side effects minimized and then disappeared."
climara,2,Marginally Effective,Moderate Side Effects,total hysterctomy,---,"Constant issues with the patch not staying on.  I called the manufacture (Bayer), they took down the lot number and said we are sorry.  They said they were going to send a new box to my local pharmacy at no charge.  I have checked every week for the last three weeks and NOTHING!  Yeah, great way to follow through.  Throughout being on the patch I noticed large acne on my face, lack of energy, no libido, vaginal dryness, daily hot flashes and extreme moodiness (so sorry to my husband, even though he has been great through all of this).  I know it has only been three months and my body is trying to adjust, but I just could not take it anymore.  I contacted my GYN and he prescribed Estratest.  Cross your fingers I hope it works!!!!",---
zoloft,1,Ineffective,Extremely Severe Side Effects,depression,Emotions were somewhat blunted. Less moodiness.,"Weight gain, extreme tiredness during the day, insomnia at night, bad effect on libido and sexual ability. Extreme lethargy.","""I was on Zoloft for about 2 years total. I am extremely sensitive to medication, so I started at a dose of 25 mgs. and slowly titrated up to 100 mgs. I was unaware that this was probably too high of a dose for me. It subsequently caused me to start taking other prescriptions to mitigate some side effects. My doctor prescribed Ritalin and Focalin for the lethargy and fatigue side effects that I experienced during the day, and Ambien for the insomnia that Zoloft caused. I am still on Ambien to this day. "
vyvanse,10,Highly Effective,Mild Side Effects,adhd,"Increased focus, attention, productivity. Better able to pay attention and absorb information in class. Reduced impulsivity. Increased motivation, increased mood. Lasts much longer than other ADHD drugs with much less severe side effects.","Restless legs at night, insomnia, headache (sometimes pretty bad). Also, make sure you take it and THEN START PRODUCTIVE THINGS, otherwise you attention will be focused on whatever you are doing when it starts to work, i.e. playing online games for hours.","I took adderall once as a child, and it made me so miserable that I never wanted to take it again. Concerta did nothing for me either, and as an adult, vyvanse was the first ADHD drug I was put on since I was in elementary school. I've been on 50 mg, 70 mg, and 60 mg. 60 works best for me, lasting about 7 hours. 70 mg kept me from being able to fall asleep and 50 mg only lasted about 5.5-6 hours. I am able to pay attention and absorb the information in my classes. I also found that vyvanse put me in a good mood for the day!"
diazepam,8,Considerably Effective,No Side Effects,muscle relaxant - spinal disorder,Reduced muscular tension allowing for easier stretching and greatly reduced chronic pain caused by cervical disc issues,only down side was it made waking up in the morning slightly harder if I took a dose too late in the evening and might make me fall asleep early if taken too soon.,"To reduce pain generated by nerve irritation due to cervical radiculopathy, I take 2mg to 4mg up to twice during the day, and up to 6mg in the evening.  Doeses are as required for muscle relaxation and used mostly for tension before evening stretching or massage.  Treatment has been going on for a year now with no ill effects.  I only use the drug when I feel it necessary, and have to date used less than 20% of the available doses"
accutane,7,Considerably Effective,Mild Side Effects,acne,I had tried every single thing to help my acne yet nothing worked. Then my doctor prescribed me Accutane and it seriously has been a miracle. Within a month my skin was almost completely clear. It felt so good to not wake up in the morning with a huge pimple on my forehead. This treatment has completely changed my life.,"None - I took accutane and it changed my life for the better...I've had none of these side effects that are sometimes reported. My nephew and best friend also took accutane and couldn't be any happier with the results...I'm not depressed, I don't have joint pains or headaches or whatever else is being reported...","""I started with a low dose, then increased the dose after several weeks. The length of the treatment course was 6 months. "
adderall-xr,8,Considerably Effective,Moderate Side Effects,adhd,The medication helped the patient focus on daily activities and think more clearly. It also eased the patient's nervous 'fidgeting'.,"The patient experienced some side-effects, including dry-mouth/increased thirst, dry skin and increased mild acne, and some mild sexual side-effects. The patient has attempted to combat all side-effects with increased water consumption.","""The patient was diagnosed with ADHD after describing a pattern of focus, memory and affect regulation problems she had experienced consistently since early childhood. The patient was given an initial prescription for Adderall XR in a 20 mg/day dose. The patient experienced an immediate improvement in her condition, which lasted for nearly three months. At three months, the patient described a waning of the positive effects of the medication but e reticence to increase the dosage without first pursuing other modes of treatment. "
zyrtec,10,Highly Effective,No Side Effects,"hives, itching, swelling due to allergies",No allergic reactions while taking daily doses of Zyrtec and no side effects at all.,None,"My son had been having terrible problems with allergies.  The cause is still unknown.  Constant hives, itching and worst of all his lips & eyes would swell excessively to the point where he couldn't leave the house.  He was prescribed Zyrtec 5 years ago and the only time he has a reaction is when he forgets to take his daily dose.  It has been wonderful.  Absolutely no side effects."
allegra,8,Considerably Effective,No Side Effects,seasonal allergies,"It greatly reduced the effects I get from seasonal allergies including sneezing, stuffy or runny nose, itchy, watery eyes, and an itchy upper soft palate at the back/roof of my mouth.  It takes care of most of it, but I still get some itchiness at roof of my mouth.",No side effects!,"I take one pill in the morning, and one at night."
tramadol,7,Moderately Effective,Mild Side Effects,low back pain due to car accident,did not take my pain away fully but it took the edge off things and helped me throught the day to do some activities i usually could not do without the drug.,"side effects were mild upset stomach, insomnia if taken before bed, boosted my mood,and social life.","""before tramadol i used  hydrocodone (vicodin) which is a narcotic pain killer ..it was was very effective with my pain but had a terrible come down ,i was very irritable and was just mad at things that with a sober mind i would not be mad at. tramadol has little come down and has a more natural """"high"""" it boost your mood , with little euphria unlike narcotic pain killers. it feels as if someone just put the nicest , softest, warm blanket over you"
retin-a-micro,7,Considerably Effective,Mild Side Effects,acne,"At first, the acne on my face just went away. It's best for when you use it only once in a while.","I got my prescription for Retin-A Micro refilled about 2 months ago because it worked so well that I ran out of it! Now when I get acne and I apply the cream before bed, I wake up and there's no difference. The acne's still as big and as red as before. My skin must've gotten used to it or something, because it doesn't get rid of my acne.","I apply it before bed each night and the acne's still the same. It worked great at first, but now I don't use it anymore."
trazodone,10,Highly Effective,No Side Effects,chronic severe insomnia,This medication was the only thing that was able to put me to sleep regularly after over 20 years of chronic insomnia!,There were no side effects.,"I usually took 150 mg. per night.  Occasionally it would have trouble falling asleep again, and then I would increase the dose to 200 mg. for a few days.  I would then go back to 150 mg. once I got back into a regular sleeping pattern.  Although Trazodone is a mild anti-depressant, I did not notice any difference in my mood."
tramadol,5,Marginally Effective,No Side Effects,fibromyalgia pain,"In order to get any effects, I had to take 4-5 times the prescribed dosage.  The medication is simply VERY WEAK.  This drug did prove to me that managing pain on a daily basis, rather than responding to pain, significantly improved my quality of life and activity level.","""I did not experience any side effects on a normal or high dose.  A VERY HIGH dose (only taken accidentally, because I forgot I had taken my usual dose earlier) on an empty stomach, will produce an unpleasant """"high"""" feeling mentally, including spaciness and shakiness.  Therefore you can't just keep taking more and more of the drug.""","Bottom line, this drug just isn't very effective.  It's more effective, and SIGNIFICANTLY SAFER, than the NSAIDS that docs are still prescribing for fibromylagia.  But I am looking for better daily pain management."
zyrtec,10,Highly Effective,Mild Side Effects,atopic eczema,"The drug was very effective in counteracting severe itching caused by atopic eczema. Zyrtec was more effective than other similar drugs (Zodac, Zaditen) which I took before for the same condition. It did not have the effect of treating the actual cause of the symptoms (eczema) but it was very effective in treating symptoms, which was what I expected (I took other topical drugs for the eczema which did not ease the itching sensation).","I felt slightly tired after taking Zyrtec. However, this was not severe and I always took it in the evening because the information leaflet did mention that the drug can have these side effects. I was also always slightly more tired in the following morning (about 8-9 hrs after taking the drug) than typically.","This is a non-prescription drug and I took it because I was experiencing severe itching caused by eczema. It was recommended to me by my dermatologist. I only took it about 4 times when the itching was very bad, and it did alleviate it. I always took 1 pill a day."
doxycycline,3,Marginally Effective,Moderate Side Effects,bronchitis,I didn't feel that it was beneficial but the cough and yellow phelgm production lead me believe my bronchitis was bacterial therefore i had my doctor prescribe an antibiotic.  the one would not have been my choice for a respiratory issue.,I took the first dose without food liek the direction said and about 20 minutes later i was vomiting.,I was to take 2 tablets the first day and then one a day for 6 days.  after the fifth day my congestion/phlegm was clear so i stopped the medication.  i continued to have the irritating bronchitis wheezey cough.  so now i'm not sure the antibiotic really helped.
motrin,10,Highly Effective,No Side Effects,menstrual cramps,I was relieved of menstrual cramps within 15 minutes of taking the pill and during nighttime i was able to sleep peacefully without any pain.I was able to carry out my routine work,There are absolutely no side effects,it is advisable to take the tablet after breakfast and after dinner so that makes it twice a day but only for 4 days
celebrex,6,Considerably Effective,Moderate Side Effects,inflamation resulting from damage to knee during s,"reduced inflammation, swelling and pain on the in-side of left knee area","Headache, dull pain around side of head and to the rear. Numbing to one half of right arm from elbow to finger tips. did not affect thumb or digit next to, just the other three fingers.","""My doctor prescribed celebrex to treat an injury i sustained while playing tennis. i damaged soft tissue ligaments/muscle tissue to the in-side of the knee, which became heavily swollen, painful and inflamed."
protonix,9,Highly Effective,No Side Effects,peptic ulcer,"The benefits of taking Protonix 20 mg is that my ulcer cleared up, and I was able to resume eating what I call normal foods.  I changed and stopped eating pizza, meat balls or extremely spicy foods, but if possible I will take a Tums before just to reduce any chance of problems.","I don't believe I had any side effects.  I know Protonix just like Nexium can be an addictive medicine simply because it work so well.  Some people seem to have minor side effects, but I am in great health and in good shape and I did not seem to have any side effects from using Protonix.","I was prescribed Protonix 20 mg which I took daily for 30 days.  Extended use is not recommended, and I did not surpass the 30 days.  I do buy extra strength Tums and take it if I have any real acid or spicy foods.  The bottom line is I had a lot of pain with my ucler which came out of nowhere and after almost 2 weeks of pain I decided I needed to see a doctor.  Soon after taking Protonix my pain went away, but as with any ulcer a diet change might be in order.  Similar drugs are Nexium, Prevacid, Prilosec, etc."
flonase,9,Considerably Effective,No Side Effects,running nose,Less running nose.It worked as soon as you used it. Working much better than the OTC saline nasal spray I tried. No side effects noted so far.,none noted yet.,"Got the nasal spray for running nose, probably due to allergy or cold weather. It has worked pretty well. Much better than OTC nasal apray."
ambien,7,Moderately Effective,No Side Effects,sleep,to get restful sleep,"sleepiness, drowiness, etc","""swallow the pill with water before bed. I was also using ambient because I was waking up in the middle of the nights and couldn•À_t fall asleep again. I got this drug prescribed for 10 days only. He told me I shouldn•À_t be taking it longer. "
erythromycin,2,Ineffective,Moderate Side Effects,bladder infection,none. I only took the prescription for 1 day,"My entire body broke out in a red, itchy rash that was not relieved by scratching nor by topical agents. I reported the reaction to the pharmacist and to my doctor, both of whom told me to cease using the antibiotic immediately as continued use in the presence of the adverse reaction could be very dangerous.","The erythromicin was changed to amoxycillin, which I used safely and effectively for 5 to seven days and experience complete relief from symptoms of the bladder infection for which I was being treated."
nuvaring,9,Highly Effective,No Side Effects,birth control/ regular periods.,"I have been very happy to have a period on time every month. It gives me the reassurance that I'm not pregnant because usually my periods would be almost half a month to a month late. Also, I have yet to become pregnant, but I still use additional protection at all times.","None. I don't understand how it could bring about side effects really. It doesn't cause weight gain. If you gain weight on this, it's your own fault for eating too much! =] The only thing I can think of is when I go to the bathroom it comes out a bit, but nothing that can't be fixed immediately. Never come completely out yet without me physically removing it.",Simple. I would 100% recommend this.
imitrex,8,Highly Effective,Mild Side Effects,migraines,Relieves a migraine 8 out of 10 times.,"Strange tingling sensations, a 'floaty' feeling, occasional stomach ache","Sometimes it makes me feel really weird for awhile afterwards, but it is worth it to calm the pounding in my head. I've had migraines since kindergarten and only recently discovered Imitrex. I never knew there was actually a pill that would take away a migraine. I think they cause rebound headaches, and they're ridiculously expensive, but it's more than worth it in the moment."
lipitor,10,Highly Effective,No Side Effects,hyperlipidemia,LOWERED my cholesterol. This medication also lowered my LDL cholesterol while raising HDL,none,required nightly administration. I was advised to drink a glass of water with each tablet. I was advised to eliminate grape fruit from my diet while taking lipitor. I was advised to have a blood test performed every 4 months to test for liver function
risperdal-consta,9,Considerably Effective,No Side Effects,psychotic symptoms,Psychotic thoughts went away.  No longer thought people were out to get me.  Became less suspicious of people.  Iritability decreaed while on this medication.  This medication has worked wonders for me.,None at all for me.  I have tolerated this medication very well.,"Started this medication in October 2008 for my suspiciousness of people (thought people were out to get me).  Began at 0.25 mg once a day for a week, then increased to 0.5 mg a day at night.  3 weeks later (1 month from the time of starting risperidone), increased to 1 mg every night.  Stayed on 1 mg for a few months when the symptoms came back.  Dose increased to 1.5 mg a day.  Depression set in (for outside life factors...not due to medication) and fluoetime added at 10 mg a day and risperidone decreased to 1 mg a day due to flueoxetine increasing the levels of risperidone.  Depression still there and psychotic symptoms came back.  At next vist (1 month) flueoxetine increased to 20 mg every morning and risperidone increased back to 1.5 mg a day.  Two months later psychotic symptoms would come back in the middle of the day (as if the medication was wearing off).  Rispreridone dosage changed to 1 mg twice a day.  Which is still the current dosage I am on."
propranolol,6,Moderately Effective,No Side Effects,panic attacks,I felt less anxious when doing presentations.  I took it before I was ready to perform to prevent a panic attack.  I felt like it calmed me down,I didn't feel like I had any.  I felt the same before and after taking the drug.,"""I was prescribed the medicine to decrease """"panic attack"""" symptoms.  I am a very nervous person."""
accutane,9,Highly Effective,Moderate Side Effects,acne,Clearing of acne.,"Headaches, dry lips, dry skin, elevated triglycerides.",Had severe cystic acne.  Went to dermatologist and received prescription for Accutane.  Took 100 mg (?) once daily.  Had check ups once a month and blood drawn once a month to check for any possible adverse effects.  Did have raised triglycerides due to treatment.  Acne began clearing halfway through treatment.  Skin looked wonderful once treatment was completed!
lexapro,7,Moderately Effective,Mild Side Effects,anxiety and depression,"more relaxed and not so obsessive, i did not hit lows or find myself depressed but more level and even",loose bowels. some say i was not as much fun or as joyful as i was beforede the drug so i believe it may have numbed my emotions a bit/,"I was given this drug b/c of feelings of sadness and loss of organizational skills and not as hopeful or positive of the future as i had been, i had taken prozac years ago and was off it for 5 years b/f i tried this . i am not on any anti-depresant at the time."
zmax,9,Highly Effective,Mild Side Effects,sinus/ lung infection from a cold,The infection's symptoms of green mucus cleared up within 3 days. As each day passed the infection lessened as did the mucus production. By the 4th day I was feeling almost completely better.,"sleepiness approximately 30 minutes after taking medicine, gas after the first day and for 3 days after course was finished, sun sensitivity","I had a cold for 6 days that would not go away. Thick green mucus from the nose and coughing up green/ grey mucus, low grade fever. My doctor prescribed Azithromycin for the sinus/ lung infection. I took 2 pills the first day and then 1 pill for the next 4 days. On the second day I felt halfway better, fever and aches gone. Mucus became more yellow than green and had a reduction of symptoms. By the 3rd day, nasal mucus was yellow and was coughing much less. By the 4th day I felt much better, nose still producing mucus and slight coughing, but no longer as much production of mucus. By day 5, I had no color to mucus and felt like lungs were pretty much clearing out, nose still a little runny."
actonel,10,Considerably Effective,No Side Effects,post-menopausal osteopenia,"My annual bone density scan improved significantly after my first year on Actonel.  Although I still have osteopenia, my physician says Actonel is helping to maintain this improvement and it is keep me from progressing to osteoporosis.","I have not had any side effects, not even the heartburn that is the most common one.","I take one 35 mg tab of Actonel first thing every Wednesday morning on an empty stomach with a full glass of water, sometimes 2 glasses.  I wait at least 30 minutes before I eat or drink anything.  While I am supposed to wait at least 30 minutes before lying down again, I confess that on a couple of Wednesday mornings when I was especially tired, I did lay back down.  Even then, however, I did not experience any heartburn."
vivelle-dot,10,Highly Effective,No Side Effects,menopausal,"Relief of menopausal symptoms, including headaches, hot flashes, mood swings, sleep disturbance, and depression. My marriage and job relationships had been suffering from these symptoms  after having a hysterectomy due to severe fibroids.","No negative side effects. Improved skin, more libido,  iwere side benefits.","Apply a patch twice a week to abdomen, according to directions, change it after  3 days/4 days"
mirapex,1,Highly Effective,Extremely Severe Side Effects,parkinson's,Mirapex: tremor control,"Mirapex: impulse control absence, induction of OCD symptoms, drug addiction (heroin, crack, etc.) and hepatitis B & C all pursuant to massive sexual and substance risk taking behaviors, loss of professional license, theft of $1million of clients' funds, gambled EVERYTHING away, lost everything, began inappropriate sexual relationships with prostitutes in home town and in Central America as well as with underaged females (who were often teenaged crack addicts), theft of EVERY SINGLE ITEM of any value from his extremely elderly wealthy father and from the rest of us, left crack in our young adult daughter's car, severing of relationships: WE have to protect ourselves from him and his evil-Mirapex reactions",Subsequently: he got DBS implanted and has been able to reduce the Mirapex - BUT THE DAMAGE IS DONE
prozac,10,Considerably Effective,Mild Side Effects,"serotonin imbalance, mood swings","Taking Prozac has enabled me to not erupt emotionally or lash out verbally at others during stressful situations, such as traffic jams, bad customer service, or when people are generally disrespecting me.  Most of the time, I have more patience than I did before taking the drug and can articulate my emotions better.",Not too interested in sex anymore.,I take one Prozac 20 mg in the morning.
