refOTU designation,A1,A2a,A2b,A2c,A3a,A3b,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
V3_Gp1_refOTU_1,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
V3_Gp3_refOTU_1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Actinobaculum_refOTU_1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Actinomyces_refOTU_1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0
V3_Actinomyces_refOTU_2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
V3_Actinomyces_refOTU_3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
V3_Actinomyces_refOTU_4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Actinomyces_refOTU_5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Actinomyces_refOTU_6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
V3_Actinomyces_refOTU_7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
V3_Actinomyces_refOTU_8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
V3_Actinomyces_refOTU_9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Actinomyces_refOTU_10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
V3_Corynebacterium_refOTU_1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Dietzia_refOTU_1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
V3_Rathayibacter_refOTU_1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
V3_Arthrobacter_refOTU_1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
V3_Rothia_refOTU_1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Actinomycetales_refOTU_1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_1,30,91,128,181,0,0,75,610,0,0,0,0,0,13,80,47,78,324
V3_Bifidobacterium_refOTU_2,10,32,19,37,50,303,38,276,0,0,0,0,0,20,21,47,41,140
V3_Bifidobacterium_refOTU_3,56,2,3,12,0,0,81,79,15,0,2,2,4,53,43,31,35,89
V3_Bifidobacterium_refOTU_4,30,61,35,41,0,0,89,17,0,0,2,0,0,68,43,7,37,43
V3_Bifidobacterium_refOTU_5,0,0,0,4,0,0,4,8,0,0,0,0,1,12,0,0,0,2
V3_Bifidobacterium_refOTU_6,2,0,2,2,0,0,0,8,0,0,0,0,0,0,0,2,0,6
V3_Bifidobacterium_refOTU_7,3,0,0,2,0,0,2,6,0,0,0,0,0,0,0,0,4,0
V3_Bifidobacterium_refOTU_8,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,4,3
V3_Bifidobacterium_refOTU_9,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,2,2,0
V3_Bifidobacterium_refOTU_10,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3
V3_Bifidobacterium_refOTU_11,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,2,0
V3_Bifidobacterium_refOTU_12,0,2,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0
V3_Bifidobacterium_refOTU_13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
V3_Bifidobacterium_refOTU_14,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_15,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1
V3_Bifidobacterium_refOTU_17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
V3_Bifidobacterium_refOTU_18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
V3_Bifidobacterium_refOTU_19,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
V3_Bifidobacterium_refOTU_21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_22,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_23,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
V3_Bifidobacterium_refOTU_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
V3_Bifidobacterium_refOTU_26,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
V3_Bifidobacterium_refOTU_28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_29,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_31,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_32,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
V3_Bifidobacterium_refOTU_34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_35,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_37,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Bifidobacterium_refOTU_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
V3_Bifidobacterium_refOTU_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
V3_Bifidobacterium_refOTU_40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
V3_Bifidobacterium_refOTU_41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
V3_Bifidobacterium_refOTU_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V3_Bifidobacterium_refOTU_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V3_Gardnerella_refOTU_1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_1,22,54,184,179,0,0,170,315,96,19,0,32,72,53,77,63,150,139
V3_Collinsella_refOTU_2,0,9,21,6,0,0,8,6,1,0,0,0,3,7,4,2,4,17
V3_Collinsella_refOTU_3,0,0,0,0,0,0,0,0,13,3,0,3,16,0,0,0,0,0
V3_Collinsella_refOTU_4,0,0,5,2,0,0,4,6,0,0,0,2,0,1,1,2,4,1
V3_Collinsella_refOTU_5,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,4,0
V3_Collinsella_refOTU_6,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
V3_Collinsella_refOTU_8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1
V3_Collinsella_refOTU_9,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_10,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
V3_Collinsella_refOTU_11,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
V3_Collinsella_refOTU_12,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_13,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_14,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
V3_Collinsella_refOTU_15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
V3_Collinsella_refOTU_16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
V3_Collinsella_refOTU_17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V3_Collinsella_refOTU_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
V3_Collinsella_refOTU_19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
V3_Collinsella_refOTU_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
V3_Collinsella_refOTU_21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_29,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
